10^x,insertion,bubble
10,0.013113021850585938,0.020742416381835938
15,0.022411346435546875,0.03719329833984375
50,0.3790855407714844,0.9746551513671875
100,1.3306140899658203,2.8913021087646484
150,2.753734588623047,4.6329498291015625
500,16.100645065307617,44.78311538696289
1000,74.19729232788086,113.18278312683105
1500,153.95021438598633,241.2710189819336
2000,281.62288665771484,438.5530948638916
3000,891.7362689971924,1042.0067310333252
4000,1056.241750717163,1850.2380847930908
5000,1686.8340969085693,2944.00954246521
6000,2383.5818767547607,4338.744401931763
7000,3258.042097091675,5881.125211715698
8000,4581.211805343628,7335.35099029541
9000,6119.153261184692,9624.464750289917
10000,7419.163227081299,12012.999057769775
11000,8238.947629928589,15011.14797592163
12000,9782.870054244995,17291.800260543823
13000,11645.43080329895,20158.673524856567
14000,15244.800567626953,24202.77500152588
15000,15625.04243850708,26752.4893283844
